train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed
756407,45.722434490000026,9,56908,416,0.20949147641658783,153.80679321289062,0.04052986204624176,159.53,427.3277282714844,0.0003,6225
756853,10.507078820000002,9,57354,420,0.20967663824558258,212.63467407226562,-0.005946099758148193,159.32,331.0975341796875,0.0003,6275
757778,52.014915079999994,9,58279,424,0.19772641360759735,173.13052368164062,0.4517871141433716,164.65,475.10382080078125,0.0003,6372
758299,29.450945119999997,9,58800,428,0.19955220818519592,166.68206787109375,0.21333906054496765,159.94,539.947998046875,0.0003,6430
758811,-17.029370439999994,9,59312,432,0.20091421902179718,208.03529357910156,0.03203798830509186,162.29,321.4306945800781,0.0003,6486
759143,-29.996864899999995,9,59644,436,0.20394842326641083,187.04429626464844,-0.05312506854534149,160.98,338.7396240234375,0.0003,6524
759959,-0.9882220400000057,9,60460,440,0.20231938362121582,166.23309326171875,-0.05949676036834717,163.38,328.94964599609375,0.0003,6611
760861,2.900444969999983,9,61362,444,0.197954922914505,217.46542358398438,-0.5029622316360474,165.07,393.06365966796875,0.0003,6707
761345,-4.703500609999995,9,61846,448,0.19525590538978577,142.755615234375,-0.12093611061573029,165.56,399.6258544921875,0.0003,6760
762244,-6.219403499999985,9,62745,452,0.1964661329984665,140.10031127929688,-0.01368805393576622,165.84,312.2154541015625,0.0003,6855
762994,-21.58036779999998,9,63495,456,0.20446759462356567,183.21292114257812,-0.2188853770494461,162.94,308.2364807128906,0.0003,6935
763299,37.86956866000003,9,63800,460,0.20532555878162384,192.24537658691406,0.03773123025894165,154.02,229.04571533203125,0.0003,6971
763813,25.99196973000004,9,64314,464,0.20272119343280792,137.14170837402344,0.1791597306728363,154.04,461.764892578125,0.0003,7027
764357,-10.451365599999965,9,64858,468,0.20121732354164124,164.32737731933594,-0.19502323865890503,153.12,332.9441833496094,0.0003,7087
764936,-18.32138940999999,9,65437,472,0.205051451921463,132.52609252929688,-0.3746998608112335,148.37,378.58233642578125,0.0003,7150
765566,-29.64846495000001,9,66067,476,0.2054748386144638,201.08262634277344,0.3329704701900482,146.5,342.4163513183594,0.0003,7218
765994,-7.520859040000022,9,66495,480,0.20379827916622162,203.20278930664062,-0.3625295162200928,136.05,292.48394775390625,0.0003,7266
766472,-70.71307254000001,9,66973,484,0.2077905386686325,183.5275115966797,-0.4617621898651123,132.52,303.4796142578125,0.0003,7319
767331,-85.65904789,9,67832,488,0.20661108195781708,193.3281707763672,-0.18484950065612793,136.3,368.08819580078125,0.0003,7410
767853,-50.86762366,9,68354,492,0.20487627387046814,170.94000244140625,0.19591160118579865,137.91,294.01177978515625,0.0003,7467
