train/n_updates,train/learning_rate,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
657408,0.0003,257809,-313.68011474609375,-0.24138416349887848,2384,8,28886,104.95,1610.41015625,857.7735128000002,0.3736981451511383
657843,0.0003,258244,-267.45294189453125,0.03402211144566536,2388,8,28935,105.16,1125.665771484375,857.6192676700001,0.36279019713401794
658244,0.0003,258645,-327.29400634765625,0.22208324074745178,2392,8,28980,105.01,1782.349365234375,856.79891424,0.36700624227523804
658729,0.0003,259130,-295.496337890625,-0.023274138569831848,2396,8,29034,105.58,741.0272216796875,856.38464675,0.36918506026268005
659111,0.0003,259512,-316.2867431640625,-0.2161971926689148,2400,8,29078,104.77,1579.3262939453125,857.87985407,0.3826097548007965
659555,0.0003,259956,-358.36376953125,-0.38553139567375183,2404,8,29127,103.61,1688.76513671875,860.5603164400001,0.3843512237071991
659922,0.0003,260323,-310.95599365234375,-0.010791711509227753,2408,8,29169,103.68,777.4945678710938,875.25066108,0.36054015159606934
660307,0.0003,260708,-298.69866943359375,-0.4816308915615082,2412,8,29213,103.13,945.3433227539062,876.4991611999999,0.369123637676239
660619,0.0003,261020,-295.26275634765625,0.12932303547859192,2416,8,29249,102.1,707.6105346679688,877.1772044999998,0.3636851906776428
661044,0.0003,261445,-337.1298522949219,-0.1884106993675232,2420,8,29297,102.89,726.8923950195312,874.82062633,0.3758511245250702
661523,0.0003,261924,-313.3169860839844,-0.20579880475997925,2424,8,29350,103.5,572.393798828125,859.28972729,0.3744860589504242
661880,0.0003,262281,-308.91168212890625,-0.17773222923278809,2428,8,29390,103.12,935.26953125,844.73757327,0.37329375743865967
662335,0.0003,262736,-281.2735290527344,0.1814822256565094,2432,8,29441,103.23,679.744140625,828.66218416,0.3890751898288727
662814,0.0003,263215,-292.083740234375,-0.1406756490468979,2436,8,29494,103.43,1833.699462890625,829.55688218,0.38468867540359497
663254,0.0003,263655,-339.8824462890625,-0.18459990620613098,2440,8,29544,103.41,705.559326171875,799.7133813099999,0.3757097125053406
663616,0.0003,264017,-331.4527587890625,0.03712385892868042,2444,8,29585,103.07,484.66143798828125,800.2638047,0.3761546313762665
663910,0.0003,264311,-289.48883056640625,-0.009554214775562286,2448,8,29620,101.59,1037.7255859375,802.2977131400002,0.3820022642612457
