time/time_elapsed,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss
20500,-22.32229232788086,0.17966574430465698,241.70797729492188,253.1705469,991199,9,1048,0.0003,185.0,191500,0.10726305842399597
20558,-6.481119155883789,0.18028032779693604,187.688232421875,219.11754226999997,991728,9,1052,0.0003,183.54,192029,0.13994282484054565
20626,1.918975830078125,0.17935296893119812,416.87542724609375,226.25440789999993,992353,9,1056,0.0003,181.9,192654,0.10664518177509308
20730,-37.128360748291016,0.1783699244260788,272.31573486328125,203.36915269999997,993340,9,1060,0.0003,182.81,193641,0.21826082468032837
20798,22.89222526550293,0.17506827414035797,250.0341796875,210.25718253999995,993974,9,1064,0.0003,181.68,194275,-0.5402940511703491
20867,-7.236675262451172,0.17426399886608124,276.3023681640625,205.49136258,994605,9,1068,0.0003,182.11,194906,0.033050596714019775
20944,-1.1099462509155273,0.17854651808738708,212.4587860107422,214.18702079999994,995329,9,1072,0.0003,180.0,195630,0.44044214487075806
21002,5.432703018188477,0.17482830584049225,202.2177734375,223.30046228999998,995858,9,1076,0.0003,176.99,196159,-0.366144597530365
21064,1.998758316040039,0.17544563114643097,391.2884521484375,208.85474272,996425,9,1080,0.0003,175.21,196726,-0.4525170624256134
21114,-14.206031799316406,0.18025662004947662,196.93359375,223.08648190000002,996867,9,1084,0.0003,169.8,197168,-0.2943980097770691
21220,-45.20210266113281,0.18018539249897003,297.639892578125,231.68591011999993,997881,9,1088,0.0003,168.54,198182,0.5138491988182068
21312,48.48511505126953,0.17963624000549316,245.21099853515625,237.98603343,998755,9,1092,0.0003,171.25,199056,-0.04382818937301636
21392,-1.0792293548583984,0.17719459533691406,232.65750122070312,228.94486575,999502,9,1096,0.0003,172.04,199803,0.19382300972938538
21432,10.45741081237793,0.17714841663837433,258.745849609375,258.54321527999997,999842,9,1100,0.0003,168.47,200143,-0.46164244413375854
21491,8.680562973022461,0.17568932473659515,294.5745849609375,251.34606169999998,1000385,9,1104,0.0003,171.43,200686,-0.25777822732925415
21536,49.305824279785156,0.1799679696559906,241.76840209960938,266.25112414,1000779,9,1108,0.0003,166.01,201080,-0.6274409294128418
21644,58.42393493652344,0.18239833414554596,266.32861328125,236.36986222,1001812,9,1112,0.0003,170.16,202113,-0.4291171729564667
21749,33.26189422607422,0.1743653416633606,200.88961791992188,240.58183114,1002812,9,1116,0.0003,174.57,203113,0.0341205894947052
